trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 1.0, 'e': 0.023255813953488372}",30,8,15.514270835765123,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 1.0, 'e': 0.022727272727272728}",20,12,11.550629609013948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 1.0, 'e': 0.022222222222222223}",25,4,-16.487910478546464,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 1.0, 'e': 0.021739130434782608}",30,15,28.176096558303357,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 1.0, 'e': 0.02127659574468085}",20,11,19.438939808098898,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 1.0, 'e': 0.020833333333333332}",30,10,29.178617840340525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 1.0, 'e': 0.02040816326530612}",20,8,10.616196245909748,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 1.0, 'e': 0.02}",20,2,25.408885636577345,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 1.0, 'e': 0.0196078431372549}",30,2,41.60157890807489,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 1.0, 'e': 0.019230769230769232}",20,16,5.20106967241698,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 1.0, 'e': 0.018867924528301886}",20,7,17.869734428735466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 1.0, 'e': 0.018518518518518517}",20,16,6.178631110957747,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 1.0, 'e': 0.01818181818181818}",20,0,31.26024383570679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 1.0, 'e': 0.017857142857142856}",25,4,7.380195654021646,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,False,"{'a': 1.0, 'e': 0.017543859649122806}",20,13,-10.19072749141163,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 1.0, 'e': 0.017241379310344827}",35,21,26.363587208703027,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 1.0, 'e': 0.01694915254237288}",20,6,25.459677018555244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 1.0, 'e': 0.016666666666666666}",20,13,12.82725393343137,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 1.0, 'e': 0.01639344262295082}",20,14,7.734495450612745,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 1.0, 'e': 0.016129032258064516}",30,18,-16.84975352135059,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 1.0, 'e': 0.015873015873015872}",25,3,33.880305744176155,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 1.0, 'e': 0.015625}",20,11,17.785569168682336,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 1.0, 'e': 0.015384615384615385}",20,10,6.221390149990405,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 1.0, 'e': 0.015151515151515152}",20,12,14.54519799031731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
